word,topic,hints,meaning
Micro,Thiết bị,Ghi âm;Kết nối amplifier,"Thiết bị ghi âm voice, dùng hát karaoke hoặc ghi âm chuyên nghiệp."
Tai nghe,Thiết bị,Nghe âm thanh;Nhỏ gọn,"Thiết bị đeo tai dùng nghe nhạc, podcast, hoặc trò chuyện qua điện thoại."
Máy chiếu,Thiết bị,Chiếu hình ảnh;Sáng mạnh,"Thiết bị chiếu hình ảnh lên màn hình hoặc tường, dùng trong thuyết trình."
Máy in,Thiết bị,In tài liệu;Mực hoặc toner,Thiết bị in tài liệu từ máy tính hoặc điện thoại ra giấy.
Pin,Thiết bị,Cung cấp điện;Sạc được,"Thiết bị cung cấp năng lượng cho các thiết bị điện, sạc được lại."
Bóng đèn,Thiết bị,Phát sáng;Chiếu sáng,"Thiết bị phát sáng, dùng để chiếu sáng, vít vào vì đèn."
Dây cáp,Thiết bị,Truyền điện;Bọc cao su,"Dây dẫn điện hoặc tín hiệu, có lớp bọc cao su bảo vệ."
Công tắc,Thiết bị,Bật tắt điện;Nhỏ gọn,"Thiết bị bật tắt điện cho thiết bị, gắn tường hoặc trên thiết bị."
Ổ cắm,Thiết bị,Cắm thiết bị điện;Lỗ tròn,"Thiết bị cho cắm phích cắm, gắn tường hoặc trên thiết bị."
Bàn phím,Thiết bị,Gõ lệnh máy tính;Có phím,"Thiết bị nhập liệu cho máy tính hoặc điện thoại, có các phím để gõ."
Chuột máy tính,Thiết bị,Di chuyển con trỏ;Có nút,"Thiết bị điều khiển con trỏ trên màn hình máy tính, có nút click."
Ổ cứng,Thiết bị,Lưu trữ dữ liệu;Có dung lượng,"Thiết bị lưu trữ dữ liệu máy tính, dung lượng từ GB đến TB."
USB,Thiết bị,Chuyển dữ liệu;Nhỏ gọn,"Thiết bị lưu trữ dữ liệu di động, cắm vào cổng USB máy tính."
Thẻ nhớ,Thiết bị,Lưu trữ dữ liệu; Nhỏ gọn,"Thiết bị lưu trữ dữ liệu cho camera hoặc điện thoại, cắm vào khe."
Máy lọc không khí,Thiết bị,Lọc bụi;Có filter,"Thiết bị lọc không khí, loại bỏ bụi và chất gây ô nhiễm."
Máy tạo độ ẩm,Thiết bị,Tạo độ ẩm;Phun hơi nước,"Thiết bị tạo độ ẩm không khí, tốt cho đường hô hấp."
Bàn ủi,Thiết bị,Ủi quần áo;Nóng cao độ,"Thiết bị điện nóng dùng để ủi quần áo, loại bỏ nếp nhăn."
Dao,Thiết bị,Cắt đồ vật;Có lưỡi,"Công cụ cắt có lưỡi sắc, dùng cắt thực phẩm hoặc các vật liệu khác."
Kéo,Thiết bị,Cắt giấy hay vải;Hai lưỡi,"Công cụ cắt có hai lưỡi sắc, dùng cắt giấy, vải, hoặc tóc."
Cái xô,Đồ vật trong nhà,Chứa nước;Nhỏ gọn,"Vật dụng hình trụ, có quai, dùng chứa nước hoặc các chất lỏng."
Chổi,Đồ vật trong nhà,Quét nhà;Có sợi,"Dụng cụ quét sạch, có các sợi đan lại, gắn vào cán dài."
Cây lau nhà,Đồ vật trong nhà,Lau sàn;Vắt được,"Dụng cụ lau sàn, có phần mềm chứa nước, có cây cầm dài."
Xà bông & xà phòng tắm,Đồ vật trong nhà,Sản phẩm làm sạch cơ thể;Làm từ dầu và hương liệu,"Sản phẩm dùng để rửa tay hoặc tắm, làm sạch da và tạo hương thơm."
Dầu gội,Đồ vật trong nhà,Gội đầu;Làm từ hóa chất,"Sản phẩm gội đầu, làm sạch tóc, có các hương thơm khác nhau."
Kem đánh răng,Đồ vật trong nhà,Đánh răng;Có fluoride,"Sản phẩm đánh răng, làm sạch răng, ngừa sâu răng."
Bàn chải đánh răng,Đồ vật trong nhà,Đánh răng;Lông chải,"Dụng cụ đánh răng, có lông chải nhỏ, cần thay 3 tháng một lần."
Khăn tắm,Đồ vật trong nhà,Lau cơ thể;Vải dệt,"Khăn vải dùng lau cơ thể sau khi tắm, hút nước tốt."
Khăn lau tay,Đồ vật trong nhà,Lau tay;Vải mềm,"Khăn vải nhỏ dùng lau tay sau khi rửa, hoặc lau miệng."
Gương,Đồ vật trong nhà,Chiếu phản ảnh;Thủy tinh,"Vật dụng phản chiếu ánh sáng, dùng để soi khuôn mặt."
Bàn chải chuốt tóc,Đồ vật trong nhà,Chải tóc;Có tông,"Dụng cụ chải tóc, loại bỏ rối tóc, có các kiểu khác nhau."
Bàn cầu,Đồ vật trong nhà,Đi vệ sinh;Gốm sứ,"Thiết bị vệ sinh dùng để đi tiểu tiện, gắn vào nhà vệ sinh."
Bồn tắm,Đồ vật trong nhà,Tắm cơ thể;Gốm sứ hoặc acrylic,"Bồn chứa nước dùng để tắm, có khung gỗ hoặc kim loại."
Vòi nước,Đồ vật trong nhà,Chảy nước;Kim loại,"Thiết bị chảy nước, gắn vào đường ống nước, điều chỉnh lưu lượng."
Xối sen,Đồ vật trong nhà,Tắm cơ thể;Nước rơi,"Thiết bị phun nước, gắn lên trần hoặc tường, dùng tắm."
Túi vải,Đồ vật trong nhà,Đựng đồ;Bền bỉ,"Túi làm từ vải, dùng đựng đồ, có quai để xách."
Thùng rác,Đồ vật trong nhà,Chứa rác;Có nắp,"Thùng chứa rác, thường có nắp để đậy, ngăn mùi hôi."
Bàn tính tiền,Thiết bị,Tính toán;Bàn phím,Máy tính chuyên dụng dùng tính tiền ở cửa hàng hoặc quán ăn.
Cân điện tử,Thiết bị,Cân trọng lượng;Màn hình số,"Máy cân trọng lượng các vật dụng, hiển thị kết quả trên màn hình."
Bóng bàn,Thể thao,Bóng nhỏ trắng;Chơi bàn,"Bóng dùng chơi bàn pong, nhỏ và nhẹ, phục vụ chính quy."
Vợt bóng bàn,Thể thao,Vợt chơi bóng bàn;Có cao su,"Vợt chơi bóng bàn, có mặt cao su chắp, cầm dễ dàng."
Bàn bóng bàn,Thể thao,Bàn chơi bóng bàn;Xanh hoặc đỏ,"Bàn chơi bóng bàn, bề mặt bằng gỗ hoặc composite, có lưới ở giữa."
Bóng chuyền,Thể thao,Bóng lớn nhẹ;Chơi trên sân,"Bóng chơi bóng chuyền, dùng đánh qua lưới, nhẹ và chắc chắn."
Lưới bóng chuyền,Thể thao,Lưới chơi bóng chuyền;Dây nylon,"Lưới chơi bóng chuyền, căng dây, chia hai bên sân."
Sân bóng chuyền,Thể thao,Sân chơi bóng chuyền;Cát hoặc xi măng,"Sân chơi bóng chuyền, có vạch kẻ, bề mặt cát hoặc xi măng."
Bóng rổ,Thể thao,Bóng cam to;Chơi trên sân,"Bóng chơi bóng rổ, to và nặng, dùng để ném vào rổ."
Rổ bóng rổ,Thể thao,Rổ chơi bóng rổ;Gắn lên cao,"Rổ bóng rổ, gắn lên trên tường hoặc cột, cao 3.05m."
Sân bóng rổ,Thể thao,Sân chơi bóng rổ;Gỗ hoặc xi măng,"Sân chơi bóng rổ, bề mặt gỗ hoặc xi măng, có vạch kẻ."
Bóng đá,Thể thao,Bóng đen trắng;Chơi trên sân cỏ,"Bóng chơi bóng đá, tròn hoàn toàn, da hoặc synthetic."
Khung thành,Thể thao,Khung chơi bóng đá;Gỗ hoặc kim loại,"Khung thành bóng đá, cao 2.44m, rộng 7.32m, gắn vào sân."
Sân bóng đá,Thể thao,Sân chơi bóng đá;Cỏ nhân tạo,"Sân chơi bóng đá, bề mặt cỏ tự nhiên hoặc nhân tạo, có vạch kẻ."
Giày bóng đá,Thể thao,Giày chơi bóng đá;Đinh cao su,"Giày chơi bóng đá, có đinh để bám cỏ, chất liệu chắc chắn."
Găng tay thủ môn,Thể thao,Găng tay chơi bóng đá;Cao su,"Găng tay dùng cho thủ môn, giúp cản bóng, cao su bám tốt."
Cờ vua,Thể thao,Trò chơi chiến thuật;Quân trắng đen,"Trò chơi chiến thuật trên bàn cờ, có 16 quân mỗi bên."
Bàn cờ vua,Thể thao,Bàn chơi cờ vua;64 ô,"Bàn chơi cờ vua, 64 ô vuông, xen kẽ màu trắng và đen."
Quân cờ vua,Thể thao,Quân chơi cờ vua;Gỗ hoặc nhựa,"Quân cờ vua, mỗi bên 16 quân, gồm vua, hậu, tượng, mã, xe, tốt."
Bóng tennis,Thể thao,Bóng vàng nhỏ;Chơi trên sân,"Bóng chơi tennis, vàng neon, nhỏ và nhẹ, lông lưới ngoài."
Vợt tennis,Thể thao,Vợt chơi tennis;Sợi nylon,"Vợt chơi tennis, có mặt lưới dây nylon căng chắc."
Sân tennis,Thể thao,Sân chơi tennis;Xi măng hoặc đất,"Sân chơi tennis, bề mặt xi măng hoặc đất sét, có lưới ở giữa."
Giày tennis,Thể thao,Giày chơi tennis;Nhẹ nhàng,"Giày chơi tennis, nhẹ, có đệm tốt, giúp di chuyển nhanh."
Bóng golf,Thể thao,Bóng nhỏ trắng;Chơi golf,"Bóng chơi golf, nhỏ và cứng, bề mặt có lỗ tròn."
Gậy golf,Thể thao,Gậy chơi golf;Các loại khác,"Gậy chơi golf, có các loại khác nhau, từ driver đến putter."
Sân golf,Thể thao,Sân chơi golf;Cỏ xanh,"Sân chơi golf rộng, với nhiều hố, bề mặt cỏ xanh."
Bàn bowling,Thể thao,Bàn chơi bowling;Gỗ mượt,"Bàn chơi bowling dài, bề mặt gỗ mượt, dùng lăn bóng."
Bóng bowling,Thể thao,Bóng nặng to;Chơi bowling,"Bóng chơi bowling, nặng và cứng, có lỗ để đặt tay."
Giày bowling,Thể thao,Giày chơi bowling;Đế trơn,"Giày chơi bowling, đế trơn, giúp trượt khi chơi."
Vây lặn,Thể thao,Vây bơi dưới nước;Cao su,"Vây lặn, màu rực rỡ, cao su, giúp bơi nhanh hơn."
Bình lặn,Thể thao,Bình chứa khí lặn;Kim loại,"Bình chứa khí nén cho lặn, gắn vào lưng người lặn."
Kính lặn,Thể thao,Kính xem dưới nước;Thủy tinh,"Kính lặn, giúp nhìn rõ dưới nước, chống nước tuyệt đối."
Áo phao cứu sinh,Thể thao,Áo bơi cứu sinh;Bọt xốp,"Áo phao cứu sinh, giúp nổi trên mặt nước, an toàn khi bơi."
Ván lướt sóng,Thể thao,Ván chơi lướt sóng;Foam hoặc fiberglass,"Ván lướt sóng, bề mặt mượt, giúp lướt trên sóng nước."
Ván trượt,Thể thao,Ván chơi trượt;Gỗ hoặc nhôm,"Ván trượt, có bánh xe, dùng để trượt trên đường phẳng."
Bánh xe trượt,Thể thao,Bánh xe trượt patin;Cao su,"Bánh xe trượt patin, lớn và cứng, giúp trượt nhanh."
Giày trượt patin,Thể thao,Giày trượt patin;Bánh xe,"Giày trượt patin, có bánh xe, giúp trượt trên mặt phẳng."
Mũ bảo hiểm trượt,Thể thao,Mũ bảo vệ đầu;Nhựa cứng,"Mũ bảo hiểm, bảo vệ đầu khi trượt, chất liệu nhựa cứng."
Tạ tay và tạ đơn,Thể thao,Dụng cụ tập thể hình cầm tay;Nhiều mức trọng lượng,Dụng cụ tập luyện cơ bắp bằng kim loại với các mức trọng lượng khác nhau cho tay.
Thanh tạ,Thể thao,Thanh đầu tạ;Kim loại,"Thanh tạ, gắn tạ vào hai đầu, dùng tập lực với cả hai tay."
Tạp dề tập thể dục,Thể thao,Áo tập thể dục;Vải thể thao,"Áo tập thể dục, vải thấm hút mồ hôi, thoáng khí."
Giày thể thao,Thể thao,Giày tập thể dục;Nhẹ nhàng,"Giày thể thao, nhẹ, thoáng khí, có đệm tốt."
